1,"Gli atti e i documenti del fascicolo
telematico non devono essere nuovamente
depositati nelle fasi successive del giudizio
o nei suoi ulteriori gradi. In tal senso:","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 546.","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 545.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 546.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 545."
41,"Ai sensi dell'art. 15 del d.lgs. del 31
dicembre del 1992 n. 546:","Le spese del giudizio sono compensate, in tutto
o in parte, in caso di soccombenza reciproca e
quando ricorrono gravi ed eccezionali ragioni
che devono essere espressamente motivate
ovvero quando la parte è risultata vittoriosa
sulla base di documenti decisivi che la stessa
ha prodotto solo nel corso del giudizio.","Le spese del giudizio sono compensate, in tutto
o in parte, in caso di soccombenza reciproca e
quando ricorrono gravi ed eccezionali ragioni
che non devono essere espressamente motivate
ovvero quando la parte è risultata vittoriosa
sulla base di documenti decisivi che la stessa ha
prodotto prima dell'avvio del giudizio.","Le spese del giudizio non possono essere
compensate, in tutto o in parte, anche in caso di
soccombenza reciproca. Le spese del giudizio
possono essere compensate quando ricorrono
gravi ed eccezionali ragioni che devono essere
espressamente motivate ovvero quando la parte
è risultata vittoriosa sulla base di documenti
decisivi che la stessa ha prodotto solo nel corso
del giudizio.","Le spese del giudizio devono essere
compensate integralmente in caso di
soccombenza reciproca e quando ricorrono
gravi ed eccezionali ragioni che devono essere
espressamente motivate ovvero quando la parte
è risultata perdente sulla base di documenti
decisivi prodotti soltanto nel corso del giudizio."
42,"Ai sensi dell'art. 5 del Decreto del Ministero
dell'Economia e delle Finanze del 23
dicembre 2013 n. 163:","Le notificazioni e le comunicazioni telematiche
sono eseguite mediante la trasmissione dei
documenti informatici all'indirizzo di PEC di
cui all'articolo 7 del Decreto del Ministero
dell'Economia e delle Finanze del 23 dicembre
2013 n. 163.","Le notificazioni e le comunicazioni telematiche
sono eseguite mediante la trasmissione dei
documenti informatici all'indirizzo di PEC di
cui all'articolo 7 del d.lgs. del 7 marzo 2005, n.
82.","Le notificazioni e le comunicazioni telematiche
sono eseguite mediante la trasmissione dei
documenti informatici all'indirizzo di PEC di
cui all'articolo 7 del d.lgs. del 31 dicembre
1992 n. 546.","Le notificazioni e le comunicazioni telematiche
sono eseguite mediante la trasmissione dei
documenti informatici all'indirizzo di PEC di
cui all'articolo 7 del d.lgs. del 31 dicembre 1992
n. 545."
43,Appartengono alla giurisdizione tributaria:,"Tutte le controversie aventi ad oggetto le
sovrimposte e le addizionali, le relative
sanzioni nonché gli interessi e ogni altro
accessorio.","Tutte le controversie aventi ad oggetto le
sovrimposte e le addizionali, le relative sanzioni
e gli interessi. Gli eventuali accessori rientrano
nella giurisdizione del giudice civile.","Tutte le controversie aventi ad oggetto le
sovrimposte e le addizionali. Le relative
sanzioni nonché gli interessi e ogni altro
accessorio rientrano nella giurisdizione del
giudice civile.","Tutte le controversie aventi ad oggetto le
sovrimposte e le addizionali, le relative sanzioni
nonché gli interessi e ogni altro accessorio
appartengono alla giurisdizione amministrativa."
44,Seleziona l'affermazione corretta:,"Il ricorso tributario può essere proposto
avverso il rifiuto espresso o tacito sull'istanza
di autotutela nei casi previsti dall'articolo 10-quater della legge 27 luglio 2000, n. 212.","Il ricorso tributario può essere proposto avverso
il rifiuto espresso o tacito sull'istanza di
autotutela nei casi previsti dall'articolo 10-ter
della legge 27 luglio 2000, n. 312.","Il ricorso tributario può essere proposto avverso
il rifiuto espresso o tacito sull'istanza di
autotutela nei casi previsti dall'articolo 10-sexies della legge 27 luglio 2000, n. 147.","Il ricorso tributario può essere proposto avverso
il rifiuto espresso o tacito sull'istanza di
autotutela facoltativa prevista dall'articolo 10-quater della legge 27 luglio 2000, n. 289."
45,"I magistrati tributari di cui al comma 1
dell'art. 1-bis del d.lgs. del 31 dicembre
1992 n. 545:","Sono reclutati secondo le modalità previste
dagli articoli da 4 a 4-quater del medesimo
decreto legislativo.","Sono reclutati secondo le modalità previste
dagli articoli da 4 a 4-quater del d.lgs. del 31
dicembre 1992 n. 546.","Sono reclutati secondo le modalità previste
dagli articoli da 3 a 4-bis del d.lgs. del 30
maggio 1987 n. 345.","Sono reclutati secondo le modalità previste
dagli articoli da 3 a 4-bis del d.lgs. del 28
marzo 1978 n. 435."
46,"Ai sensi dell'art. 7 del Decreto del Ministero
dell'Economia e delle Finanze del 23
dicembre 2013 n. 163:","Per gli enti impositori, l'indirizzo di posta
elettronica certificata di cui al comma 1
dell'art. 7 del Decreto del Ministero
dell'Economia e delle Finanze del 23 dicembre
2013 n. 163 è quello individuato dall'articolo
47, comma 3, del decreto legislativo 7 marzo
2005, n. 82, pubblicato nell'IPA.","Per gli enti impositori, l'indirizzo di posta
elettronica certificata di cui al comma 1 dell'art.
7 del Decreto del Ministero dell'Economia e
delle Finanze del 23 dicembre 2013 n. 163 è
quello individuato dall'articolo 47, comma 3,
del decreto legislativo 7 marzo 2005, n. 82,
ovvero quello indicato alla parte ricorrente in
sede di notifica delle controdeduzioni.","Per gli enti impositori, l'indirizzo di posta
elettronica certificata di cui al comma 1 dell'art.
7 del Decreto del Ministero dell'Economia e
delle Finanze del 23 dicembre 2013 n. 163 è
quello individuato dall'articolo 47, comma 3,
del decreto legislativo 7 marzo 2005, n. 82,
ovvero quello indicato al contribuente in sede
di notifica dell'atto impositivo.","Per gli enti impositori, l'indirizzo di posta
elettronica certificata di cui al comma 1 dell'art.
7 del Decreto del Ministero dell'Economia e
delle Finanze del 23 dicembre 2013 n. 163 è
quello individuato dall'articolo 47, comma 3,
del decreto legislativo 7 marzo 2005, n. 82,
ovvero quello indicato al contribuente ed alla
segreteria della Corte di Giustizia tributaria in
sede di costituzione in giudizio."
47,Il processo tributario si estingue:,Nel caso di rinuncia al ricorso.,Quando è presentata querela di falso.,"Nel caso di morte, radiazione o sospensione
dall'albo o dall'elenco di uno dei difensori
incaricati a sensi dell'art. 12 del d.lgs. del 31
dicembre 1992 n. 546.","Nel caso di perdita della capacità di stare in
giudizio di una delle parti."
48,"Il presidente della Corte di giustizia potrà
assumere gli opportuni provvedimenti
affinché i ricorsi concernenti identiche
questioni di diritto a carattere ripetitivo
vengano assegnati alla medesima sezione
per essere trattati congiuntamente. Ciò è
vero:","Al di fuori dei casi di cui all'art. 29, comma 1,
del d.lgs. del 31 dicembre 1992 n. 546.","Al di fuori dei casi di cui all'art. 31, comma 4,
del d.lgs. del 31 dicembre 1992 n. 545","Al di fuori dei casi di cui all'art. 10, comma 2,
del d.lgs. del 31 dicembre 1992 n. 546.","Al di fuori dei casi di cui all'art. 16, comma 5,
del d.lgs. del 31 dicembre 1992 n. 546."
49,"Se l'azione viene iniziata avanti all'autorità
giudiziaria ordinaria ovvero se questa viene
adita dopo la decisione dell'organo
amministrativo, la sanzione pecuniaria è
riscossa per intero o per il suo residuo
ammontare dopo la sentenza di primo grado,
salva l'eventuale sospensione disposta dal
giudice d'appello:","Secondo le previsioni dei commi 2, 3 e 4
dell'art. 19 del d.lgs. del 18 dicembre 1997 n.
472.","Secondo le previsioni dei commi 3, 4 e 5
dell'art. 19 DPR 600/73","Secondo le previsioni dei commi 1, 5 e 6
dell'art. 19 DPR 602/73","Secondo le previsioni dei commi 2, 3 e 5
dell'art. 19 Legge 212/2000."
50,"L'art. 2 del d.lgs. del 31 dicembre 1992 n.
546 del 1992:","Definisce l'oggetto della giurisdizione
tributaria.","Individua le ipotesi in cui le Corti di giustizia
tributaria non hanno competenza.","Individua le ragioni di astensione e ricusazione
dei componenti delle Corti di giustizia
tributaria di primo e secondo grado.","Regola il funzionamento degli organi di
assistenza delle Corti di giustizia tributaria di
primo e secondo grado."
51,"Nei casi di trattazione delle cause da remoto
la segreteria comunica l'avviso dell'ora e
delle modalità di collegamento:",Almeno tre giorni prima della udienza.,Almeno cinque giorni prima della udienza.,Almeno dieci giorni prima della udienza.,Almeno sette giorni prima della udienza.
52,"Ai sensi dell'art. 12 del decreto del
Ministero dell'Economia e delle Finanze del
4 agosto 2015:","Il fascicolo informatico raccoglie gli atti, i
documenti, gli allegati, le ricevute di posta
elettronica certificata, i messaggi di sistema e i
dati del procedimento disciplinato dal
regolamento. Il fascicolo informatico contiene
anche le copie per immagine degli atti e
documenti, quando siano stati depositati su
supporto analogico.","Il fascicolo informatico raccoglie gli atti, i
documenti, le ricevute di posta elettronica
certificata, i messaggi di sistema e i dati del
procedimento disciplinato dal regolamento. Il
fascicolo informatico contiene anche le copie
per immagine degli atti e documenti, quando
siano stati depositati su supporto digitale.","Il fascicolo informatico raccoglie gli atti, i
documenti, gli allegati, le ricevute di posta
elettronica certificata, i messaggi di sistema e i
dati del procedimento disciplinato dal
regolamento. Il fascicolo informatico non
contiene le copie per immagine degli atti e
documenti, quando siano stati depositati su
supporto analogico.","Il fascicolo informatico raccoglie gli atti, i
documenti, gli allegati, i messaggi di sistema,
ad eccezione delle ricevute di posta elettronica
certificata, e i dati del procedimento
disciplinato dal regolamento. Il fascicolo
informatico contiene anche le copie per
immagine degli atti e documenti, quando siano
stati depositati su supporto analogico."
53,Selezionare l'affermazione corretta:,"I provvedimenti con i quali è dichiarata la
sospensione, l'interruzione e l'estinzione del
processo hanno forma di decreto.","I provvedimenti con i quali è dichiarata la
sospensione, l'interruzione e l'estinzione del
processo hanno forma di ordinanza.","I provvedimenti con i quali è dichiarata la
sospensione, l'interruzione e l'estinzione del
processo hanno forma di sentenza.","I provvedimenti con i quali è dichiarata la
sospensione, l'interruzione e l'estinzione del
processo hanno forma di ordinanza emanata dal
giudice collegiale."
54,"Se la parte istante non dimostra di avere
depositato il ricorso per cassazione contro la
sentenza:","La Corte di giustizia tributaria non può
pronunciarsi sulle richieste di cui al comma 1
dell'art. 62-bis del d.lgs. del 31 dicembre 1992
n. 546.","La Corte di giustizia tributaria può comunque
pronunciarsi, seppur con riserva, sulle richieste
di cui al comma 4 dell'art. 62-bis del d.lgs. del
31 dicembre 1992 n. 546.","La Corte di giustizia tributaria non può
pronunciarsi sulle richieste di cui al comma 3
dell'art. 62 del d.lgs. del 31 dicembre 1992 n.
545.","La Corte di giustizia tributaria non può
pronunciarsi sulle richieste di cui al comma 5
dell'art. 61-bis del d.lgs. del 31 dicembre 1992
n.545."
55,"I compensi spettanti ai consulenti tecnici
non possono eccedere quelli previsti:","Dalla legge 8 luglio 1980, n. 319.",Dal d.lgs. del 31 dicembre 1992 n. 546.,Dal d.lgs. del 31 dicembre 1992 n. 545.,Dal d.P.R. del 30 maggio 1982 n. 572.
56,Le parti possono proporre istanze cautelari:,"Ai sensi degli artt. 47 e 52 del d.lgs. del 31
dicembre 1992 n. 546, in quanto compatibili.","Ai sensi degli artt. 49 e 54 del d.lgs. del 31
dicembre 1992 n. 545, in quanto compatibili.","Ai sensi degli artt. 44 e 53 del d.lgs. del 31
dicembre 1992 n. 545, in quanto compatibili.","Ai sensi degli artt. 68 e 70 del d.lgs. del 31
dicembre 1992 n. 546, in quanto compatibili."
57,"Ai sensi dell'art. 2, comma 6, del d.lgs. del
31 dicembre 1992 n. 545:","Se in una sezione mancano i componenti
necessari per costituire il collegio giudicante, il
presidente della Corte di giustizia tributaria
designa i componenti di altre sezioni.","Se in una sezione mancano i componenti
necessari per costituire il collegio giudicante, il
presidente della Corte di giustizia tributaria,
sentito il Garante regionale del contribuente,
designa i componenti di altre sezioni.","Se in una sezione mancano i componenti
necessari per costituire il collegio giudicante, il
presidente della Corte di giustizia tributaria
designa, sentito il Ministero della Giustizia,
designa i componenti di altre sezioni.","Se in una sezione mancano i componenti
necessari per costituire il collegio giudicante, il
presidente della Corte di giustizia tributaria,
sentito il Garante nazionale del contribuente,
designa i componenti di altre sezioni."
58,L'atto di controdeduzioni in appello:,"È depositato nei modi e termini di cui al
comma 1 dell'art. 54 del d.lgs. del 31 dicembre
1992 n. 546.","È depositato nei modi e termini di cui al
comma 4 dell'art. 54 del d.lgs. del 31 dicembre
1992 n.545.","È depositato nei modi e termini di cui al
comma 2 dell'art. 54 del d.lgs. del 31 dicembre
1992 n.545","È depositato nei modi e termini di cui al
comma 6 dell'art. 13 del d.lgs. del 31 dicembre
1992 n. 546."
59,"Ai sensi dell'art. 19 del d.lgs. del 31
dicembre 1992 n. 546:","Gli atti espressi di cui al comma 1 dell'art. 19
del d.lgs. del 31 dicembre 1992 n. 546 devono
contenere l'indicazione del termine entro il
quale il ricorso deve essere proposto e della
corte di giustizia tributaria di primo e secondo
grado competente, nonché delle relative forme
da osservare ai sensi dell'art. 20 del medesimo
decreto legislativo.","Gli atti espressi di cui al comma 2 dell'art. 69
del d.lgs. del 31 dicembre 1992 n. 546 devono
contenere l'indicazione del termine entro il
quale il ricorso deve essere proposto e della
corte di giustizia tributaria di primo e secondo
grado competente, nonché delle relative forme
da osservare ai sensi dell'art. 20 del medesimo
decreto legislativo.","Gli atti espressi di cui al comma 3 dell'art. 60
del d.lgs. del 31 dicembre 1992 n. 546 devono
contenere l'indicazione del termine entro il
quale il ricorso deve essere proposto e della
corte di giustizia tributaria di primo e secondo
grado competente, nonché delle relative forme
da osservare ai sensi dell'art. 19 del medesimo
decreto legislativo.","Gli atti espressi di cui al comma 2 dell'art. 70
del d.lgs. del 31 dicembre 1992 n. 546 devono
contenere l'indicazione del termine entro il
quale il ricorso deve essere proposto e della
corte di giustizia tributaria di primo e secondo
grado competente, nonché delle relative forme
da osservare ai sensi dell'art. 19 del medesimo
decreto legislativo."
60,"La sentenza della Corte di giustizia
tributaria di primo grado può essere
appellata alla Corte di giustizia tributaria di
secondo grado:","Competente a norma dell'articolo 4, comma 2,
del d.lgs. del 31 dicembre 1992 n. 546.","Competente a norma dell'articolo 2 comma 4,
del d.lgs. del 31 dicembre 1992 n.545.","Competente a norma dell'articolo 3, comma 1,
del d.lgs. del 31 dicembre 1992 n. 545.","Competente a norma dell'articolo 19, comma 3,
del d.lgs. del 31 dicembre 1992 n. 546."
61,"Ai sensi dell'art. 4 del d.lgs. del 31 dicembre
1992 n. 546 del 1992:","Le Corti di giustizia tributaria di primo grado
sono competenti per le controversie proposte
nei confronti dei soggetti iscritti all'albo di cui
all'articolo 53 del decreto legislativo 15
dicembre 1997, n. 446 che hanno sede nella
loro circoscrizione.","Le Corti di giustizia tributaria di primo grado
sono competenti per le controversie proposte
nei confronti dei soggetti iscritti all'albo di cui
all'articolo 35 del decreto legislativo 15
dicembre 1997, n. 446 che hanno sede anche
secondarie nella loro circoscrizione.","Le Corti di giustizia tributaria di primo grado
sono competenti per le controversie proposte
nei confronti dei soggetti iscritti all'albo di cui
all'articolo 52 del decreto legislativo 15
dicembre 1997, n. 446 che hanno il domicilio
fiscale nella loro circoscrizione.","Le Corti di giustizia tributaria di primo grado
sono competenti per le controversie proposte
nei confronti dei soggetti iscritti all'albo di cui
all'articolo 52 del decreto legislativo 15
dicembre 1997, n. 446 che hanno la residenza
nella loro circoscrizione."
